Item,Source,Length [mm],ND.T,ND.Z,ND.M,Time [s],Velocity [mm/s],Comment
1,Captured,1.24,N/A,N/A,N/A,N/A,N/A,BRG3_L_1
2,Captured,0.96,N/A,N/A,N/A,N/A,N/A,BRG3_W_1
3,Captured,1.5,N/A,N/A,N/A,N/A,N/A,BRG3_L_2
4,Captured,1.1,N/A,N/A,N/A,N/A,N/A,BRG3_W_2
5,Captured,1.51,N/A,N/A,N/A,N/A,N/A,BRG3_L_3
6,Captured,1.08,N/A,N/A,N/A,N/A,N/A,BRG3_W_3
7,Captured,1.42,N/A,N/A,N/A,N/A,N/A,BRG3_L_4
8,Captured,1.06,N/A,N/A,N/A,N/A,N/A,BRG3_W_4
9,Captured,1.28,N/A,N/A,N/A,N/A,N/A,BRG3_L_5
10,Captured,1.05,N/A,N/A,N/A,N/A,N/A,BRG3_W_5
11,Captured,1.18,N/A,N/A,N/A,N/A,N/A,BRG3_L_6
12,Captured,0.91,N/A,N/A,N/A,N/A,N/A,BRG3_W_6
13,Captured,1.57,N/A,N/A,N/A,N/A,N/A,BRG3_L_7
14,Captured,1.2,N/A,N/A,N/A,N/A,N/A,BRG3_W_7
15,Captured,1.29,N/A,N/A,N/A,N/A,N/A,BRG3_L_8
16,Captured,0.98,N/A,N/A,N/A,N/A,N/A,BRG3_W_8
17,Captured,1.49,N/A,N/A,N/A,N/A,N/A,BRG3_L_9
18,Captured,1.12,N/A,N/A,N/A,N/A,N/A,BRG3_W_9
19,Captured,1.22,N/A,N/A,N/A,N/A,N/A,BRG3_L_10
20,Captured,0.93,N/A,N/A,N/A,N/A,N/A,BRG3_W_10
Feature,Mean,St.Dev,Minimum,Maximum,Sum,,,
Length [mm],1.2,0.2,0.91,1.57,24.08,,,
