Item,Source,Length [mm],ND.T,ND.Z,ND.M,Time [s],Velocity [mm/s],Comment
1,Captured,1.16,N/A,N/A,N/A,N/A,N/A,CRG3_L_1
2,Captured,0.88,N/A,N/A,N/A,N/A,N/A,CRG3_W_1
3,Captured,1.03,N/A,N/A,N/A,N/A,N/A,CRG3_L_2
4,Captured,0.73,N/A,N/A,N/A,N/A,N/A,CRG3_W_2
5,Captured,1.21,N/A,N/A,N/A,N/A,N/A,CRG3_L_3
6,Captured,0.95,N/A,N/A,N/A,N/A,N/A,CRG3_W_3
7,Captured,1.22,N/A,N/A,N/A,N/A,N/A,CRG3_L_4
8,Captured,1.03,N/A,N/A,N/A,N/A,N/A,CRG3_W_4
9,Captured,1.17,N/A,N/A,N/A,N/A,N/A,CRG3_L_5
10,Captured,0.9,N/A,N/A,N/A,N/A,N/A,CRG3_W_5
11,Captured,1.18,N/A,N/A,N/A,N/A,N/A,CRG3_L_6
12,Captured,0.91,N/A,N/A,N/A,N/A,N/A,CRG3_W_6
13,Captured,1.21,N/A,N/A,N/A,N/A,N/A,CRG3_L_7
14,Captured,0.92,N/A,N/A,N/A,N/A,N/A,CRG3_W_7
15,Captured,1.21,N/A,N/A,N/A,N/A,N/A,CRG3_L_8
16,Captured,1,N/A,N/A,N/A,N/A,N/A,CRG3_W_8
17,Captured,1.18,N/A,N/A,N/A,N/A,N/A,CRG3_L_9
18,Captured,0.94,N/A,N/A,N/A,N/A,N/A,CRG3_W_9
19,Captured,1.05,N/A,N/A,N/A,N/A,N/A,CRG3_L_10
20,Captured,0.81,N/A,N/A,N/A,N/A,N/A,CRG3_W_10
Feature,Mean,St.Dev,Minimum,Maximum,Sum,,,
Length [mm],1.04,0.15,0.73,1.22,20.71,,,
