Item,Source,Length [mm],ND.T,ND.Z,ND.M,Time [s],Velocity [mm/s],Comment
1,Captured,1.31,N/A,N/A,N/A,N/A,N/A,RIB2_L_1
2,Captured,0.93,N/A,N/A,N/A,N/A,N/A,RIB2_W_1
3,Captured,1.25,N/A,N/A,N/A,N/A,N/A,RIB2_L_2
4,Captured,0.94,N/A,N/A,N/A,N/A,N/A,RIB2_W_2
5,Captured,1.24,N/A,N/A,N/A,N/A,N/A,RIB2_L_3
6,Captured,1,N/A,N/A,N/A,N/A,N/A,RIB2_W_3
7,Captured,1.27,N/A,N/A,N/A,N/A,N/A,RIB2_L_4
8,Captured,1.01,N/A,N/A,N/A,N/A,N/A,RIB2_W_4
9,Captured,1.19,N/A,N/A,N/A,N/A,N/A,RIB2_L_5
10,Captured,0.75,N/A,N/A,N/A,N/A,N/A,RIB2_W_5
11,Captured,1.3,N/A,N/A,N/A,N/A,N/A,RIB2_L_6
12,Captured,0.99,N/A,N/A,N/A,N/A,N/A,RIB2_W_6
13,Captured,1.32,N/A,N/A,N/A,N/A,N/A,RIB2_L_7
14,Captured,1.06,N/A,N/A,N/A,N/A,N/A,RIB2_W_7
15,Captured,1.24,N/A,N/A,N/A,N/A,N/A,RIB2_L_8
16,Captured,1,N/A,N/A,N/A,N/A,N/A,RIB2_W_8
17,Captured,1.32,N/A,N/A,N/A,N/A,N/A,RIB2_L_9
18,Captured,0.97,N/A,N/A,N/A,N/A,N/A,RIB2_W_9
19,Captured,1.33,N/A,N/A,N/A,N/A,N/A,RIB2_L_10
20,Captured,1.02,N/A,N/A,N/A,N/A,N/A,RIB2_W_10
Feature,Mean,St.Dev,Minimum,Maximum,Sum,,,
Length [mm],1.12,0.17,0.75,1.33,22.45,,,
